Teams,Stadiums, Total Attendance for Stadiums ,Average Attendance for Stadiums, Total home possessions , Total away possessions ,Average home possession,Average away possession, Total home shots , Total away shots , Average home shots , Average away shots ,Total home shots on target,Total away shots on target, Average home shots on target , Average away shots on target ,Total home goals,Total away goals, Average home goals , Average away goals , Total home yellow cards , Total away yellow cards , Total yellow cards by clubs , Average home yellow cards , Average away yellow cards , Average yellow cards by clubs , Total home red cards , Total away red cards , Total red cards by clubs , Total home fouls , Total away fouls , Total fouls by clubs , Average home fouls , Average away fouls , Total average club fouls , Total home passes , Total away passes , Average home passes , Average away passes , Total home saves , Total away saves , Average home saves , Average away saves ,
Manchester City,Etihad Stadium," 1,011,732 "," 53,249 ",1244,1227.7, 65.47 , 64.62 , 317 , 283 , 17 , 15 ,118,101, 6 , 5 ,60,34, 3 , 2 ,19,25,44, 1 , 1 , 2 ,1,0,1, 172 ,175, 347 , 9 , 9 , 18 ," 1,699 "," 1,673 ", 89 , 88 , 33 , 27 , 2 , 1 ,
Arsenal,Emirates Stadium," 1,143,535 "," 60,186 ",1185.2,1084.8, 62.38 , 57.09 , 354 , 239 , 19 , 13 ,123,81, 6 , 4 ,53,35, 3 , 2 ,17,35,52, 1 , 2 , 3 ,0,0,0, 183 ,190, 373 , 10 , 10 , 20 ," 1,625 "," 1,596 ", 86 , 84 , 44 , 51 , 2 , 3 ,
Manchester United,Old Trafford," 1,401,602 "," 73,769 ",1004,1040.5, 52.84 , 54.76 , 343 , 250 , 18 , 13 ,119,96, 6 , 5 ,36,22, 2 , 1 ,35,43,78, 2 , 2 , 4 ,2,0,2, 211 ,213, 424 , 11 , 11 , 22 ," 1,559 "," 1,539 ", 82 , 81 , 43 , 58 , 2 , 3 ,
Newcastle United,St James' Park," 990,422 "," 52,127 ",1024.6,966.2, 53.93 , 50.85 , 343 , 228 , 18 , 12 ,110,87, 6 , 5 ,36,32, 2 , 2 ,31,31,62, 2 , 2 , 3 ,1,0,1, 208 ,198, 406 , 11 , 10 , 21 ," 1,517 "," 1,475 ", 80 , 78 , 43 , 54 , 2 , 3 ,
Liverpool,Anfield," 1,010,540 "," 53,186 ",1152.1,1165.4, 60.64 , 61.34 , 328 , 277 , 17 , 15 ,112,100, 6 , 5 ,46,29, 2 , 2 ,28,29,57, 1 , 2 , 3 ,1,0,1, 202 ,203, 405 , 11 , 11 , 21 ," 1,588 "," 1,597 ", 84 , 84 , 50 , 64 , 3 , 3 ,
Brighton and Hove Albion,Amex Stadium," 598,061 "," 31,477 ",1144,1153, 60.21 , 60.68 , 351 , 262 , 18 , 14 ,134,98, 7 , 5 ,37,35, 2 , 2 ,32,27,59, 2 , 1 , 3 ,0,0,0, 209 ,218, 427 , 11 , 11 , 22 ," 1,627 "," 1,607 ", 86 , 85 , 40 , 45 , 2 , 2 ,
Aston Villa,Villa Park," 792,431 "," 41,707 ",949.7,928.1, 49.98 , 48.85 , 226 , 205 , 12 , 11 ,88,63, 5 , 3 ,33,18, 2 , 1 ,37,43,80, 2 , 2 , 4 ,0,1,1, 191 ,226, 417 , 10 , 12 , 22 ," 1,538 "," 1,510 ", 81 , 79 , 41 , 68 , 2 , 4 ,
Tottenham Hotspur,Tottenham Hotspur Stadium," 1,170,118 "," 61,585 ",968.5,929.5, 50.97 , 48.92 , 289 , 229 , 15 , 12 ,115,84, 6 , 4 ,37,33, 2 , 2 ,41,34,75, 2 , 2 , 4 ,1,2,3, 227 ,197, 424 , 12 , 10 , 22 ," 1,584 "," 1,565 ", 83 , 82 , 52 , 59 , 3 , 3 ,
Brentford,Gtech Community Stadium," 324,474 "," 17,078 ",829.3,822.1, 43.65 , 43.27 , 238 , 170 , 13 , 9 ,99,63, 5 , 3 ,35,23, 2 , 1 ,28,27,55, 1 , 1 , 3 ,1,0,1, 169 ,185, 354 , 9 , 10 , 19 ," 1,377 "," 1,397 ", 72 , 74 , 68 , 86 , 4 , 5 ,
Fulham,Craven Cottage," 454,342 "," 23,913 ",964,882.4, 50.74 , 46.44 , 239 , 190 , 13 , 10 ,81,68, 4 , 4 ,31,24, 2 , 1 ,27,53,80, 1 , 3 , 4 ,1,0,1, 193 ,218, 411 , 10 , 11 , 22 ," 1,495 "," 1,492 ", 79 , 79 , 76 , 70 , 4 , 4 ,
Crystal Palace,Selhurst Park," 474,075 "," 24,951 ",891.5,864, 46.92 , 45.47 , 232 , 194 , 12 , 10 ,66,70, 3 , 4 ,21,19, 1 , 1 ,33,46,79, 2 , 2 , 4 ,2,1,3, 218 ,228, 446 , 11 , 12 , 23 ," 1,483 "," 1,492 ", 78 , 79 , 60 , 56 , 3 , 3 ,
Chelsea,Stamford Bridge," 760,039 "," 40,002 ",1125.9,1118.2, 59.26 , 58.85 , 260 , 224 , 14 , 12 ,78,81, 4 , 4 ,20,18, 1 , 1 ,38,39,77, 2 , 2 , 4 ,1,2,3, 196 ,201, 397 , 10 , 11 , 21 ," 1,618 "," 1,629 ", 85 , 86 , 53 , 63 , 3 , 3 ,
Wolverhampton Wanderers,Molineux," 598,658 "," 31,508 ",919.8,984.4, 48.41 , 51.81 , 212 , 200 , 11 , 11 ,76,50, 4 , 3 ,19,12, 1 , 1 ,45,39,84, 2 , 2 , 4 ,4,2,6, 226 ,237, 463 , 12 , 12 , 24 ," 1,499 "," 1,563 ", 79 , 82 , 52 , 67 , 3 , 4 ,
West Ham United,London Stadium," 1,186,784 "," 62,462 ",799.6,786.3, 42.08 , 41.38 , 263 , 211 , 14 , 11 ,77,68, 4 , 4 ,26,16, 1 , 1 ,19,25,44, 1 , 1 , 2 ,0,0,0, 165 ,197, 362 , 9 , 10 , 19 ," 1,493 "," 1,442 ", 79 , 76 , 51 , 66 , 3 , 3 ,
Bournemouth,Vitality Stadium," 195,874 "," 10,309 ",777.2,747.3, 40.91 , 39.33 , 198 , 160 , 10 , 8 ,72,61, 4 , 3 ,20,17, 1 , 1 ,30,39,69, 2 , 2 , 4 ,0,0,0, 203 ,188, 391 , 11 , 10 , 21 ," 1,457 "," 1,443 ", 77 , 76 , 68 , 68 , 4 , 4 ,
Nottingham Forest,The City Ground," 554,570 "," 29,188 ",692.9,721.6, 36.47 , 37.98 , 194 , 174 , 10 , 9 ,70,48, 4 , 3 ,27,11, 1 , 1 ,49,35,84, 3 , 2 , 4 ,0,0,0, 228 ,217, 445 , 12 , 11 , 23 ," 1,329 "," 1,346 ", 70 , 71 , 50 , 65 , 3 , 3 ,
Everton,Goodison Park," 745,377 "," 39,230 ",831.4,786.8, 43.76 , 41.41 , 232 , 197 , 12 , 10 ,89,63, 5 , 3 ,16,18, 1 , 1 ,37,42,79, 2 , 2 , 4 ,1,1,2, 186 ,210, 396 , 10 , 11 , 21 ," 1,456 "," 1,423 ", 77 , 75 , 57 , 71 , 3 , 4 ,
Leicester City,The King Power Stadium," 605,857 "," 31,887 ",913.1,899.9, 48.06 , 47.36 , 211 , 207 , 11 , 11 ,80,72, 4 , 4 ,23,28, 1 , 1 ,27,32,59, 1 , 2 , 3 ,0,0,0, 209 ,201, 410 , 11 , 11 , 22 ," 1,509 "," 1,503 ", 79 , 79 , 46 , 70 , 2 , 4 ,
Leeds United,Elland Road," 694,759 "," 36,566 ",907.4,878.8, 47.76 , 46.25 , 252 , 210 , 13 , 11 ,80,65, 4 , 3 ,26,22, 1 , 1 ,38,46,84, 2 , 2 , 4 ,2,1,3, 235 ,232, 467 , 12 , 12 , 25 ," 1,434 "," 1,362 ", 75 , 72 , 45 , 65 , 2 , 3 ,
Southampton,St. Mary's Stadium," 578,365 "," 30,440 ",845.9,842.9, 44.52 , 44.36 , 228 , 189 , 12 , 10 ,80,62, 4 , 3 ,19,17, 1 , 1 ,26,47,73, 1 , 2 , 4 ,0,0,0, 200 ,230, 430 , 11 , 12 , 23 ," 1,443 "," 1,459 ", 76 , 77 , 35 , 48 , 2 , 3 ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
